,درس,استاد,ساعت تدریس
0,آموزش پایتون مقدماتی,جادی میرمیرانی,57
1,آموزش برنامه‌نویسی با پایتون (پیشرفته),جادی میرمیرانی,57
2,آموزش رایگان پایتون مقدماتی,علی مس‌فروش,40
3,آموزش رایگان توابع در پایتون,حمید دانشجو,11
4,آموزش رایگان یادگیری ماشین با پایتون,پویان راجیان,10
5,آموزش مبانی برنامه‌نویسی پایتون,حمید دانشجو,43
6,نا معلوم,نا معلوم,283
7,نکات پایتون و حل مسائل الگوریتمی (لایو کدینگ),وحید نائینی,3
8,آموزش رایگان کار با فایل‌ها در پایتون,حمید دانشجو,6
9,آموزش رایگان مباحث پیشرفته پایتون,علی بیگدلی,3
10,آموزش رایگان شیءگرایی در پایتون,حمید دانشجو,9
11,آموزش رایگان پروژه‌های کاربردی پایتون,علی بیگدلی,1:13
12,آموزش رایگان رابط گرافیکی Tkinter پایتون,علی بیگدلی,4
13,آموزش وب اسکرپینگ با پایتون (web scraping),معین سلیمی,10
14,آموزش جامع طراحی سایت (فرانت‌اند و بک‌اند) با PHP,منیره بسطامی,21
15,آموزش برنامه نویسی پایتون Python - مقدماتی,سید امیرحسین حسینی,7
16,آموزش شی‌ءگرایی در پایتون,علی بیگدلی,30
17,آموزش بهینه‌سازی پرتفولیو سهام با تئوری نوین (MPT) در پایتون,سجاد جمالیان,13
18,آموزش وب‌سایت تبلیغاتی با لاراول,تابش روحانی,6
19,آموزش جامع طراحی و ساخت ربات معامله‌گر خودکار در بازارهای مالی …,سجاد جمالیان,25
20,آموزش کاربرد پایتون در امنیت,مهرداد میرابی,36
21,آموزش برنامه‌‌نویسی با زبان Go,رامین فرج‌پور کامی,35
22,آموزش آمار و احتمال در پایتون,محمدرضا کریمی‌نژاد,66
23,آموزش جنگو پیشرفته,علی بیگدلی,120
